             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
           3989520       gpu  jupyter cdjb0599  R    2:36:23      1 gpu006
           3989424       gpu  jupyter cdjb0599  R    2:57:51      1 gpu016
           3979989       gpu bindcraf  fbselee  R 1-02:08:12      1 gpu015
           3979988       gpu bindcraf  fbselee  R 1-02:46:11      1 gpu020
           3979987       gpu bindcraf  fbselee  R 1-02:49:12      1 gpu017
           3979986       gpu bindcraf  fbselee  R 1-02:51:12      1 gpu017
           3989135       gpu minilbbd    scxcw  R    3:08:12      1 gpu002
           3989055       gpu santorin  sc22l2m  R    3:12:19      1 gpu025
         3986987_8       gpu  colabfo   bs22bm  R    5:36:07      1 gpu015
         3986310_9       gpu swap_agg kknx3385  R    2:45:32      1 gpu010
         3986310_8       gpu swap_agg kknx3385  R    2:51:40      1 gpu018
         3986310_7       gpu swap_agg kknx3385  R    2:57:50      1 gpu023
         3986310_6       gpu swap_agg kknx3385  R    2:58:51      1 gpu002
         3986310_5       gpu swap_agg kknx3385  R    3:00:55      1 gpu001
         3986310_3       gpu swap_agg kknx3385  R    3:01:58      1 gpu012
         3986310_4       gpu swap_agg kknx3385  R    3:01:58      1 gpu016
         3986310_2       gpu swap_agg kknx3385  R    3:06:07      1 gpu018
         3986310_0       gpu swap_agg kknx3385  R    3:08:11      1 gpu014
         3986310_1       gpu swap_agg kknx3385  R    3:08:11      1 gpu018
           3981172       gpu readLevP    fbsev  R   12:37:00      1 gpu009
           3984219       gpu    gpu_1 pdpv7239  R   14:11:47      1 gpu025
         3965170_0       gpu weakwind    pyzuj  R 1-14:09:11      1 gpu024
         3965139_0       gpu viscous_    pyzuj  R 1-14:15:17      1 gpu011
           3989692       gpu   binder  fbselee  R    2:03:12      1 gpu001
           3901463       gpu     Jon4   cscdrm  R   11:37:39      1 gpu003
           3962195       gpu   TReg14   cscdrm  R   12:26:24      1 gpu005
           3979796       gpu DoubleNe    scnhv  R 1-04:06:02      1 gpu021
           3979795       gpu DoubleNe    scnhv  R 1-04:07:03      1 gpu024
         3977129_4       gpu convunex    scccw  R 1-08:56:48      1 gpu013
         3977129_2       gpu convunex    scccw  R 1-10:47:33      1 gpu012
         3977129_1       gpu convunex    scccw  R 1-13:34:32      1 gpu026
         3977129_0       gpu convunex    scccw  R 1-13:42:40      1 gpu001
         3977129_3       gpu convunex    scccw  R 1-10:04:49      1 gpu027
         3982563_4       gpu convu_re    scccw  R   15:19:40      1 gpu010
         3982563_3       gpu convu_re    scccw  R   17:40:16      1 gpu004
         3982563_0       gpu convu_re    scccw  R   17:50:30      1 gpu016
         3982563_1       gpu convu_re    scccw  R   17:50:30      1 gpu019
         3982563_2       gpu convu_re    scccw  R   17:50:30      1 gpu022
           3989469       gpu pvserver     scab  R       1:28      1 gpu006
           3983551     himem ordering    tsylu PD       0:00      1 (Resources)
           3986423     himem ordering    tsylu PD       0:00      1 (Priority)
           3986424     himem ordering    tsylu PD       0:00      1 (Priority)
           3986711     himem  core168 ml20tssa PD       0:00      1 (Priority)
           3984463     himem KPOINT77  cm22s2r PD       0:00      1 (Priority)
           3982798     himem       4A ml19laaa  R   19:12:33      1 himem01
           3982797     himem       3A ml19laaa  R   19:12:44      1 himem01
           3982799     himem       2A ml19laaa  R   16:48:27      1 himem01
           3982807     himem       5A ml19laaa  R   16:48:27      1 himem01
           3982016     himem torus_qu   pyjpct  R   21:35:47      1 himem01
           3979946     himem nektarpp   mn16db  R   21:28:36      1 himem02
           3984185     nodes S1_ARD_e  earcwat PD       0:00      1 (BeginTime)
           3499458     nodes run_rscr   bs21zh PD       0:00      1 (DependencyNeverSatisfied)
           3990895     nodes sim_R1_E  fbsjcro PD       0:00      1 (QOSMaxMemoryPerUser)
           3990894     nodes sim_R1_E  fbsjcro PD       0:00      1 (QOSMaxMemoryPerUser)
           3990893     nodes sim_R1_E  fbsjcro PD       0:00      1 (QOSMaxMemoryPerUser)
           3979819     nodes    v80hs   earsst PD       0:00      4 (Resources)
           3979878     nodes    v80hs   earsst PD       0:00      4 (Priority)
           3987574     nodes pan_cons  khhx350 PD       0:00      1 (QOSMaxMemoryPerUser)
           3987575     nodes pan_cons  khhx350 PD       0:00      1 (QOSMaxMemoryPerUser)
           3987576     nodes pan_cons  khhx350 PD       0:00      1 (QOSMaxMemoryPerUser)
           3988502     nodes im_cons_  khhx350 PD       0:00      1 (QOSMaxMemoryPerUser)
           3988503     nodes im_cons_  khhx350 PD       0:00      1 (QOSMaxMemoryPerUser)
           3988504     nodes im_cons_  khhx350 PD       0:00      1 (QOSMaxMemoryPerUser)
           3232895     nodes settling     scab PD       0:00      1 (Priority)
           3233619     nodes settling     scab PD       0:00      1 (Priority)
           3233933     nodes settling     scab PD       0:00      1 (Priority)
           3232578     nodes settling     scab PD       0:00      1 (Priority)
           3232685     nodes settling     scab PD       0:00      1 (Priority)
           3232521     nodes settling     scab PD       0:00      1 (Priority)
           3985955     nodes hPIEZO1_ kkgx0246 PD       0:00      8 (QOSMaxCpuPerUserLimit)
           3986158     nodes hPIEZO1_ kkgx0246 PD       0:00      8 (QOSMaxCpuPerUserLimit)
           3986427     nodes NSC_wgs_  qzts830 PD       0:00      1 (Dependency)
           3346743     nodes 111517_j  mn17b2m PD       0:00      1 (Priority)
           3346740     nodes 111517_j  mn17b2m PD       0:00      1 (Priority)
           3346741     nodes 111517_j  mn17b2m PD       0:00      1 (Priority)
           3346739     nodes 111517_j  mn17b2m PD       0:00      1 (Priority)
           3346735     nodes 111517_j  mn17b2m PD       0:00      1 (Priority)
           3346736     nodes 111517_j  mn17b2m PD       0:00      1 (Priority)
           3346737     nodes 111517_j  mn17b2m PD       0:00      1 (Priority)
           3346742     nodes 111517_j  mn17b2m PD       0:00      1 (Priority)
           3346734     nodes 111517_j  mn17b2m PD       0:00      1 (Priority)
           3346738     nodes 111517_j  mn17b2m PD       0:00      1 (Priority)
           3346731     nodes 111517_j  mn17b2m PD       0:00      1 (Priority)
           3346732     nodes 111517_j  mn17b2m PD       0:00      1 (Priority)
           3346733     nodes 111517_j  mn17b2m PD       0:00      1 (Priority)
           3346730     nodes 111517_j  mn17b2m PD       0:00      1 (Priority)
           3346728     nodes 111517_j  mn17b2m PD       0:00      1 (Priority)
           3346729     nodes 111517_j  mn17b2m PD       0:00      1 (Priority)
           3346721     nodes 111517_j  mn17b2m PD       0:00      1 (Priority)
           3346722     nodes 111517_j  mn17b2m PD       0:00      1 (Priority)
           3346723     nodes 111517_j  mn17b2m PD       0:00      1 (Priority)
           3346724     nodes 111517_j  mn17b2m PD       0:00      1 (Priority)
           3346725     nodes 111517_j  mn17b2m PD       0:00      1 (Priority)
           3346726     nodes 111517_j  mn17b2m PD       0:00      1 (Priority)
           3346727     nodes 111517_j  mn17b2m PD       0:00      1 (Priority)
           3346719     nodes 111517_j  mn17b2m PD       0:00      1 (Priority)
           3346720     nodes 111517_j  mn17b2m PD       0:00      1 (Priority)
           3346712     nodes 111517_j  mn17b2m PD       0:00      1 (Priority)
           3346713     nodes 111517_j  mn17b2m PD       0:00      1 (Priority)
           3346714     nodes 111517_j  mn17b2m PD       0:00      1 (Priority)
           3346715     nodes 111517_j  mn17b2m PD       0:00      1 (Priority)
           3346716     nodes 111517_j  mn17b2m PD       0:00      1 (Priority)
           3346717     nodes 111517_j  mn17b2m PD       0:00      1 (Priority)
           3346718     nodes 111517_j  mn17b2m PD       0:00      1 (Priority)
           3346707     nodes 111517_j  mn17b2m PD       0:00      1 (Priority)
           3346708     nodes 111517_j  mn17b2m PD       0:00      1 (Priority)
           3346709     nodes 111517_j  mn17b2m PD       0:00      1 (Priority)
           3346710     nodes 111517_j  mn17b2m PD       0:00      1 (Priority)
           3346711     nodes 111517_j  mn17b2m PD       0:00      1 (Priority)
           3346694     nodes 104089_j  mn17b2m PD       0:00      1 (Priority)
           3346696     nodes 104089_j  mn17b2m PD       0:00      1 (Priority)
           3346697     nodes 104089_j  mn17b2m PD       0:00      1 (Priority)
           3346699     nodes 104089_j  mn17b2m PD       0:00      1 (Priority)
           3346702     nodes 111517_j  mn17b2m PD       0:00      1 (Priority)
           3346703     nodes 111517_j  mn17b2m PD       0:00      1 (Priority)
           3346704     nodes 111517_j  mn17b2m PD       0:00      1 (Priority)
           3346705     nodes 111517_j  mn17b2m PD       0:00      1 (Priority)
           3346706     nodes 111517_j  mn17b2m PD       0:00      1 (Priority)
           3346745     nodes 111517_j  mn17b2m PD       0:00      1 (Priority)
           3346744     nodes 111517_j  mn17b2m PD       0:00      1 (Priority)
           3991815     nodes prod-35_   medfpo PD       0:00      8 (Priority)
           3981428     nodes      z00    sceab PD       0:00      1 (Priority)
           3981406     nodes better_m    sceab PD       0:00      1 (Priority)
           3989517     nodes caspian_   bsjssi PD       0:00      1 (Priority)
           3982354     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3982353     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3982352     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3982351     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3982350     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3982349     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3982348     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3982347     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3982346     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3982345     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3982344     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3982343     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3982342     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3982341     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3982305     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3982304     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3982303     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3982302     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3982301     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3982300     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3982299     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3550682     nodes rep3-ctr    umgad PD       0:00     12 (Priority)
           3550986     nodes rep2-unm    umgad PD       0:00      9 (Priority)
           3550982     nodes rep3-lip    umgad PD       0:00      6 (Priority)
           3985362     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985361     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985360     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985359     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985358     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985357     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985356     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985355     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985354     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985353     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985352     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985351     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985350     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985349     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985346     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985345     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985344     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985343     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985342     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985341     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985340     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985339     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985338     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985337     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985336     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985335     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985334     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985333     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985332     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985331     nodes job_scri  jktc627 PD       0:00      1 (Priority)
